Date Time, Water Level, Sigma, O, F, R, L, Quality 
2016-05-23 00:00,2.067,0.020,0,0,0,0,v
2016-05-23 00:06,2.343,0.033,0,0,0,0,v
2016-05-23 00:12,2.382,0.010,0,0,0,0,v
2016-05-23 00:18,2.238,0.030,0,0,0,0,v
2016-05-23 00:24,2.395,0.059,0,0,0,0,v
2016-05-23 00:30,2.425,0.039,0,0,0,0,v
2016-05-23 00:36,2.379,0.036,0,0,0,0,v
2016-05-23 00:42,2.575,0.020,0,0,0,0,v
2016-05-23 00:48,2.533,0.016,0,0,0,0,v
2016-05-23 00:54,2.605,0.039,0,0,0,0,v
2016-05-23 01:00,2.726,0.020,0,0,0,0,v
2016-05-23 01:06,2.844,0.026,0,0,0,0,v
2016-05-23 01:12,2.923,0.016,0,0,0,0,v
2016-05-23 01:18,2.930,0.043,0,0,0,0,v
2016-05-23 01:24,3.110,0.016,0,0,0,0,v
2016-05-23 01:30,3.136,0.010,0,0,0,0,v
2016-05-23 01:36,3.202,0.013,0,0,0,0,v
2016-05-23 01:42,3.241,0.020,0,0,0,0,v
2016-05-23 01:48,3.419,0.020,0,0,0,0,v
2016-05-23 01:54,3.396,0.023,0,0,0,0,v
2016-05-23 02:00,3.606,0.020,0,0,0,0,v
2016-05-23 02:06,3.615,0.016,0,0,0,0,v
2016-05-23 02:12,3.720,0.043,0,0,0,0,v
2016-05-23 02:18,3.816,0.010,0,0,0,0,v
2016-05-23 02:24,3.888,0.030,0,0,0,0,v
2016-05-23 02:30,3.937,0.013,0,0,0,0,v
2016-05-23 02:36,4.078,0.043,0,0,0,0,v
2016-05-23 02:42,4.167,0.023,0,0,0,0,v
2016-05-23 02:48,4.222,0.013,0,0,0,0,v
2016-05-23 02:54,4.416,0.033,0,0,0,0,v
2016-05-23 03:00,4.436,0.016,0,0,0,0,v
2016-05-23 03:06,4.514,0.020,0,0,0,0,v
2016-05-23 03:12,4.662,0.043,0,0,0,0,v
2016-05-23 03:18,4.656,0.039,0,0,0,0,v
2016-05-23 03:24,4.931,0.052,0,0,0,0,v
2016-05-23 03:30,4.734,0.023,0,0,0,0,v
2016-05-23 03:36,5.007,0.023,0,0,0,0,v
2016-05-23 03:42,4.974,0.036,0,0,0,0,v
2016-05-23 03:48,5.059,0.056,0,0,0,0,v
2016-05-23 03:54,5.026,0.059,0,0,0,0,v
2016-05-23 04:00,5.253,0.020,0,0,0,0,v
2016-05-23 04:06,5.213,0.016,0,0,0,0,v
2016-05-23 04:12,5.295,0.023,0,0,0,0,v
2016-05-23 04:18,5.394,0.023,0,0,0,0,v
2016-05-23 04:24,5.427,0.020,0,0,0,0,v
2016-05-23 04:30,5.358,0.039,0,0,0,0,v
