anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,861 
2016,1,1,1,986 
2016,1,1,2,992 
2016,1,1,3,883 
2016,1,1,4,690 
2016,1,1,5,469 
2016,1,1,6,278 
2016,1,1,7,166 
2016,1,1,8,156 
2016,1,1,9,251 
2016,1,1,10,429 
2016,1,1,11,645 
2016,1,1,12,837 
2016,1,1,13,953 
2016,1,1,14,962 
2016,1,1,15,858 
2016,1,1,16,662 
2016,1,1,17,423 
2016,1,1,18,201 
2016,1,1,19,49 
2016,1,1,20,3 
2016,1,1,21,74 
2016,1,1,22,246 
2016,1,1,23,481 
2016,1,2,0,722 
2016,1,2,1,907 
2016,1,2,2,995 
2016,1,2,3,970 
2016,1,2,4,844 
2016,1,2,5,651 
2016,1,2,6,446 
2016,1,2,7,279 
2016,1,2,8,192 
2016,1,2,9,202 
2016,1,2,10,304 
2016,1,2,11,473 
2016,1,2,12,662 
2016,1,2,13,814 
2016,1,2,14,888 
2016,1,2,15,865 
2016,1,2,16,745 
2016,1,2,17,555 
2016,1,2,18,342 
2016,1,2,19,159 
2016,1,2,20,52 
2016,1,2,21,48 
2016,1,2,22,151 
2016,1,2,23,338 
2016,1,3,0,568 
2016,1,3,1,785 
2016,1,3,2,937 
2016,1,3,3,992 
2016,1,3,4,943 
2016,1,3,5,805 
2016,1,3,6,617 
2016,1,3,7,426 
2016,1,3,8,281 
2016,1,3,9,215 
2016,1,3,10,239 
2016,1,3,11,344 
2016,1,3,12,498 
2016,1,3,13,656 
2016,1,3,14,773 
2016,1,3,15,815 
2016,1,3,16,770 
2016,1,3,17,645 
2016,1,3,18,467 
2016,1,3,19,282 
2016,1,3,20,136 
2016,1,3,21,68 
2016,1,3,22,99 
2016,1,3,23,225 
2016,1,4,0,419 
2016,1,4,1,639 
2016,1,4,2,832 
2016,1,4,3,955 
2016,1,4,4,983 
2016,1,4,5,916 
2016,1,4,6,772 
2016,1,4,7,587 
2016,1,4,8,410 
2016,1,4,9,282 
2016,1,4,10,231 
2016,1,4,11,264 
2016,1,4,12,364 
2016,1,4,13,501 
2016,1,4,14,634 
2016,1,4,15,723 
2016,1,4,16,745 
2016,1,4,17,689 
2016,1,4,18,565 
2016,1,4,19,402 
2016,1,4,20,242 
2016,1,4,21,126 
2016,1,4,22,90 
2016,1,4,23,148 
2016,1,5,0,290 
2016,1,5,1,485 
2016,1,5,2,693 
2016,1,5,3,865 
2016,1,5,4,965 
2016,1,5,5,975 
2016,1,5,6,894 
2016,1,5,7,743 
2016,1,5,8,561 
2016,1,5,9,392 
2016,1,5,10,276 
2016,1,5,11,235 
2016,1,5,12,270 
2016,1,5,13,364 
2016,1,5,14,488 
2016,1,5,15,603 
2016,1,5,16,677 
2016,1,5,17,688 
2016,1,5,18,628 
2016,1,5,19,508 
2016,1,5,20,357 
2016,1,5,21,216 
2016,1,5,22,124 
2016,1,5,23,112 
2016,1,6,0,188 
2016,1,6,1,340 
2016,1,6,2,536 
2016,1,6,3,735 
2016,1,6,4,894 
2016,1,6,5,978 
2016,1,6,6,972 
2016,1,6,7,877 
2016,1,6,8,718 
2016,1,6,9,535 
2016,1,6,10,370 
2016,1,6,11,260 
2016,1,6,12,222 
2016,1,6,13,257 
2016,1,6,14,349 
2016,1,6,15,468 
2016,1,6,16,578 
2016,1,6,17,646 
2016,1,6,18,653 
2016,1,6,19,590 
2016,1,6,20,470 
2016,1,6,21,326 
2016,1,6,22,197 
2016,1,6,23,120 
2016,1,7,0,124 
2016,1,7,1,215 
2016,1,7,2,376 
2016,1,7,3,576 
2016,1,7,4,774 
2016,1,7,5,925 
2016,1,7,6,998 
2016,1,7,7,976 
2016,1,7,8,866 
2016,1,7,9,695 
2016,1,7,10,505 
2016,1,7,11,338 
2016,1,7,12,226 
2016,1,7,13,190 
2016,1,7,14,231 
2016,1,7,15,329 
2016,1,7,16,454 
2016,1,7,17,568 
2016,1,7,18,638 
2016,1,7,19,642 
2016,1,7,20,572 
2016,1,7,21,447 
2016,1,7,22,303 
2016,1,7,23,178 
2016,1,8,0,108 
2016,1,8,1,124 
2016,1,8,2,228 
2016,1,8,3,404 
2016,1,8,4,615 
2016,1,8,5,817 
2016,1,8,6,966 
2016,1,8,7,1027 
2016,1,8,8,987 
2016,1,8,9,856 
2016,1,8,10,668 
2016,1,8,11,464 
2016,1,8,12,287 
2016,1,8,13,173 
2016,1,8,14,144 
2016,1,8,15,200 
2016,1,8,16,316 
2016,1,8,17,457 
2016,1,8,18,583 
2016,1,8,19,657 
2016,1,8,20,654 
2016,1,8,21,573 
2016,1,8,22,436 
2016,1,8,23,282 
2016,1,9,0,151 
2016,1,9,1,84 
2016,1,9,2,111 
2016,1,9,3,234 
2016,1,9,4,429 
2016,1,9,5,657 
2016,1,9,6,869 
2016,1,9,7,1015 
2016,1,9,8,1062 
2016,1,9,9,999 
2016,1,9,10,842 
2016,1,9,11,630 
2016,1,9,12,406 
2016,1,9,13,216 
2016,1,9,14,104 
2016,1,9,15,93 
2016,1,9,16,175 
2016,1,9,17,320 
2016,1,9,18,486 
2016,1,9,19,627 
2016,1,9,20,702 
2016,1,9,21,687 
2016,1,9,22,587 
2016,1,9,23,431 
2016,1,10,0,258 
2016,1,10,1,115 
2016,1,10,2,49 
2016,1,10,3,92 
2016,1,10,4,239 
2016,1,10,5,460 
2016,1,10,6,708 
2016,1,10,7,929 
2016,1,10,8,1069 
2016,1,10,9,1096 
2016,1,10,10,1005 
2016,1,10,11,817 
2016,1,10,12,573 
2016,1,10,13,325 
2016,1,10,14,127 
2016,1,10,15,28 
2016,1,10,16,47 
2016,1,10,17,166 
2016,1,10,18,347 
2016,1,10,19,542 
2016,1,10,20,697 
2016,1,10,21,768 
2016,1,10,22,735 
2016,1,10,23,610 
2016,1,11,0,426 
2016,1,11,1,229 
2016,1,11,2,72 
2016,1,11,3,12 
2016,1,11,4,75 
2016,1,11,5,250 
2016,1,11,6,497 
2016,1,11,7,765 
2016,1,11,8,991 
2016,1,11,9,1120 
2016,1,11,10,1121 
2016,1,11,11,995 
2016,1,11,12,769 
2016,1,11,13,492 
2016,1,11,14,224 
2016,1,11,15,30 
2016,1,11,16,-42 
2016,1,11,17,17 
2016,1,11,18,179 
2016,1,11,19,400 
2016,1,11,20,623 
2016,1,11,21,787 
2016,1,11,22,848 
2016,1,11,23,791 
2016,1,12,0,635 
2016,1,12,1,418 
2016,1,12,2,194 
2016,1,12,3,30 
2016,1,12,4,-18 
2016,1,12,5,69 
2016,1,12,6,270 
2016,1,12,7,540 
2016,1,12,8,822 
2016,1,12,9,1046 
2016,1,12,10,1156 
2016,1,12,11,1125 
2016,1,12,12,960 
2016,1,12,13,696 
2016,1,12,14,390 
2016,1,12,15,115 
2016,1,12,16,-60 
2016,1,12,17,-94 
2016,1,12,18,10 
2016,1,12,19,218 
2016,1,12,20,477 
2016,1,12,21,722 
2016,1,12,22,888 
2016,1,12,23,932 
2016,1,13,0,846 
2016,1,13,1,655 
2016,1,13,2,405 
2016,1,13,3,161 
2016,1,13,4,-3 
2016,1,13,5,-35 
2016,1,13,6,75 
2016,1,13,7,297 
2016,1,13,8,585 
2016,1,13,9,873 
2016,1,13,10,1085 
2016,1,13,11,1168 
2016,1,13,12,1100 
2016,1,13,13,895 
