anio,mes,dia,hora(utc),altura(mm)
2016,5,6,2,-28 
2016,5,6,3,76 
2016,5,6,4,277 
2016,5,6,5,519 
2016,5,6,6,736 
2016,5,6,7,870 
2016,5,6,8,882 
2016,5,6,9,767 
2016,5,6,10,556 
2016,5,6,11,305 
2016,5,6,12,73 
2016,5,6,13,-81 
2016,5,6,14,-104 
2016,5,6,15,21 
2016,5,6,16,266 
2016,5,6,17,576 
2016,5,6,18,886 
2016,5,6,19,1124 
2016,5,6,20,1231 
2016,5,6,21,1184 
2016,5,6,22,996 
2016,5,6,23,714 
2016,5,7,0,398 
2016,5,7,1,117 
2016,5,7,2,-60 
2016,5,7,3,-91 
2016,5,7,4,24 
2016,5,7,5,245 
2016,5,7,6,511 
2016,5,7,7,751 
2016,5,7,8,898 
2016,5,7,9,911 
2016,5,7,10,786 
2016,5,7,11,559 
2016,5,7,12,285 
2016,5,7,13,30 
2016,5,7,14,-134 
2016,5,7,15,-150 
2016,5,7,16,-7 
2016,5,7,17,261 
2016,5,7,18,599 
2016,5,7,19,934 
2016,5,7,20,1185 
2016,5,7,21,1293 
2016,5,7,22,1233 
2016,5,7,23,1025 
2016,5,8,0,713 
2016,5,8,1,366 
2016,5,8,2,62 
2016,5,8,3,-121 
2016,5,8,4,-142 
2016,5,8,5,-10 
2016,5,8,6,233 
2016,5,8,7,523 
2016,5,8,8,780 
2016,5,8,9,933 
2016,5,8,10,941 
2016,5,8,11,803 
2016,5,8,12,557 
2016,5,8,13,261 
2016,5,8,14,-9 
2016,5,8,15,-173 
2016,5,8,16,-178 
2016,5,8,17,-20 
2016,5,8,18,267 
2016,5,8,19,623 
2016,5,8,20,969 
2016,5,8,21,1222 
2016,5,8,22,1321 
2016,5,8,23,1246 
2016,5,9,0,1016 
2016,5,9,1,680 
2016,5,9,2,313 
2016,5,9,3,6 
2016,5,9,4,-166 
2016,5,9,5,-171 
2016,5,9,6,-19 
2016,5,9,7,245 
2016,5,9,8,551 
2016,5,9,9,815 
2016,5,9,10,964 
2016,5,9,11,961 
2016,5,9,12,809 
2016,5,9,13,545 
2016,5,9,14,236 
2016,5,9,15,-35 
2016,5,9,16,-189 
2016,5,9,17,-180 
2016,5,9,18,-10 
2016,5,9,19,286 
2016,5,9,20,648 
2016,5,9,21,991 
2016,5,9,22,1231 
2016,5,9,23,1312 
2016,5,10,0,1218 
2016,5,10,1,969 
2016,5,10,2,618 
2016,5,10,3,252 
2016,5,10,4,-39 
2016,5,10,5,-188 
2016,5,10,6,-170 
